company	job_category	pattern_type	employment_variant	template_text	feature_variations
ark-visiting-nurse	nurse	A		10年以上にわたり看護の現場でご活躍されてきたご経歴を、大変心強く拝見しました。豊富な臨床経験で培われた確かな技術とアセスメント力は、{特色}当ステーションにおいて、大きな力になると考えております。	利用者様一人ひとりと深く向き合う|認知症の利用者様が多く、きめ細かなケアが求められる|介護予防から在宅看取りまで幅広く対応する
ark-visiting-nurse	nurse	B1		看護師として{N}年以上にわたるご経験に注目しました。臨床の現場で培われた確かなスキルは、{特色}当ステーションにおいて、大きな力になると考えております。	認知症の利用者様が多く、きめ細かな観察力が求められる|クリニック併設で医師と密に連携しながら訪問看護に取り組む|利用者様一人ひとりの生活に深く寄り添う
ark-visiting-nurse	nurse	B2		看護師として{N}年のご経験をお持ちとのこと、臨床の現場で培われたスキルは、{特色}当ステーションにおいて活かしていただけると考えております。	クリニック併設で医師との連携もスムーズな|認知症の利用者様を中心に、地域に根差したケアを提供する|介護予防から在宅看取りまで幅広い看護を経験できる
ark-visiting-nurse	nurse	C		看護師として臨床のご経験をお持ちとのこと、{特色}当ステーションにおいて、そのご経験を活かしていただけるのではないかと考えご連絡いたしました。	認知症の利用者様が多く、一人ひとりに寄り添うケアを大切にする|クリニック併設で医師と密に連携できる環境の|介護予防から在宅看取りまで幅広く対応している
ark-visiting-nurse	nurse	D	就業中	看護師として現在も臨床の現場でご活躍されている点に注目しました。{特色}当ステーションで、これまでのご経験を活かしていただけると考えております。	認知症の利用者様が多く、看護師としてのきめ細かな対応が求められる|クリニック併設で医師と連携しながら訪問看護に取り組める環境の|利用者様一人ひとりの生活に寄り添うケアを大切にしている
ark-visiting-nurse	nurse	D	離職中	看護師としてこれまで培われてきたご経験に注目しました。{特色}当ステーションで、そのご経験を活かしていただける場面が多いと考えております。	認知症の利用者様が多く、看護師としてのきめ細かな対応が求められる|クリニック併設で医師と連携しながら訪問看護に取り組める環境の|利用者様一人ひとりの生活に寄り添うケアを大切にしている
ark-visiting-nurse	nurse	E		看護師として臨床の現場で経験を積まれている点に注目しました。当ステーションではS-QUE訪問看護eラーニングや研修費補助など学びの環境が整っており、訪問看護という新たなフィールドでご経験を広げていただけます。
ark-visiting-nurse	nurse	F	就業中	看護師として現在も臨床の現場でご活躍されている点に注目しました。当ステーションではS-QUE訪問看護eラーニングや研修費補助など、看護師としてのキャリアの幅を広げられる環境が整っております。
ark-visiting-nurse	nurse	F	離職中	当ステーションではS-QUE訪問看護eラーニングや入社初日からの新任研修など、訪問看護を基礎から学べる環境が整っております。チーム全体でサポートし合いながら取り組める職場です。
ark-visiting-nurse	nurse	G		これからのキャリアを検討されているとのこと、当ステーションではS-QUE訪問看護eラーニングや入社初日からの新任研修など、訪問看護を基礎から学べる環境が整っております。
lcc-visiting-nurse	nurse	A		プロフィールを拝見し、10年以上の臨床経験をお持ちである点にとても魅力を感じました。豊富な経験で培われた看護スキルは、{特色}当ステーションにおいて、大きな力になると考えています。	多職種が連携して利用者様を支える|都心4拠点で幅広い利用者様に対応する|利用者様の暮らしに寄り添うケアを大切にする
lcc-visiting-nurse	nurse	B1		プロフィールを拝見し、{N}年以上の臨床経験をお持ちである点に注目しました。現場で培われた確かなスキルは、{特色}当ステーションで存分に活かしていただけると考えています。	看護師に加えPT・OT・STが連携する|都心で幅広い利用者様に対応する|利用者様一人ひとりの暮らしに寄り添う
lcc-visiting-nurse	nurse	B2		プロフィールを拝見し、{N}年の臨床経験をお持ちとのこと、現場で培われたスキルは、{特色}当ステーションで活かしていただけると考えています。	多職種が連携しチームで利用者様を支える|都心4拠点で多様な利用者様に対応する|利用者様の暮らしに寄り添うケアを提供する
lcc-visiting-nurse	nurse	C		プロフィールを拝見し、看護師として臨床のご経験をお持ちとのこと、{特色}当ステーションで、そのご経験を活かしていただけるのではないかと考えご連絡しました。	多職種が連携して利用者様を支える|都心で幅広い利用者様に対応する|利用者様の暮らしに寄り添うケアを大切にする
lcc-visiting-nurse	nurse	D	就業中	プロフィールを拝見し、看護師として現在も臨床の現場でご活躍されている点に注目しました。{特色}当ステーションで、これまでのご経験を活かしていただけると考えています。	多職種が連携して利用者様を支える|都心4拠点で幅広い利用者様に対応する|利用者様一人ひとりの暮らしに寄り添う
lcc-visiting-nurse	nurse	D	離職中	プロフィールを拝見し、看護師としてのこれまでのご経験に注目しました。{特色}当ステーションで、そのご経験を活かしていただける場面が多いと考えています。	多職種が連携して利用者様を支える|都心4拠点で幅広い利用者様に対応する|利用者様一人ひとりの暮らしに寄り添う
